particle,fluid,phi ,T,size,k_ratio
CuO,EG,0.062202381,23.85,2.30E-08,1.240594059
Al2O3,H2O,0.02,27.82693905,3.60E-08,1.078703704
Al2O3,H2O,0.02,28.72089354,3.60E-08,1.111111111
Al2O3,H2O,0.02,30.37078558,3.60E-08,1.114814815
Al2O3,H2O,0.02,32.7889055,3.60E-08,1.152777778
Al2O3,H2O,0.02,34.99252616,3.60E-08,1.182407407
Al2O3,H2O,0.02,35.74132204,3.60E-08,1.233333333
Al2O3,H2O,0.06,27.51918286,3.60E-08,1.110185185
Al2O3,H2O,0.06,28.39711011,3.60E-08,1.121296296
Al2O3,H2O,0.06,29.97168244,3.60E-08,1.164814815
Al2O3,H2O,0.06,32.42650722,3.60E-08,1.193518519
Al2O3,H2O,0.06,35.73692078,3.60E-08,1.282407407
Al2O3,H2O,0.06,34.68634778,3.60E-08,1.196296296
Al2O3,H2O,0.1,27.21433317,3.60E-08,1.109259259
Al2O3,H2O,0.1,28.03936223,3.60E-08,1.110185185
Al2O3,H2O,0.1,29.68427172,3.60E-08,1.169444444
Al2O3,H2O,0.1,32.20918452,3.60E-08,1.216666667
Al2O3,H2O,0.1,34.48065105,3.60E-08,1.289814815
Al2O3,H2O,0.1,35.55854509,3.60E-08,1.271296296
CuO,H2O,0.02,29.03958362,2.90E-08,1.351006711
CuO,H2O,0.02,31.44788385,2.90E-08,1.355218463
CuO,H2O,0.02,33.63895357,2.90E-08,1.389795918
CuO,H2O,0.02,35.48486509,2.90E-08,1.439330229
CuO,H2O,0.04,28.86864813,2.90E-08,1.335556773
CuO,H2O,0.04,31.2303794,2.90E-08,1.389405561
CuO,H2O,0.04,33.35762224,2.90E-08,1.414367895
CuO,H2O,0.04,34.88220792,2.90E-08,1.446397754
CuO,H2O,0.06,28.5810163,2.90E-08,1.448020819
CuO,H2O,0.06,30.96466238,2.90E-08,1.496158061
CuO,H2O,0.06,33.00575264,2.90E-08,1.522948911
CuO,H2O,0.06,34.4455554,2.90E-08,1.537700315
CuO,H2O,0.06,35.86207369,2.90E-08,1.577270237
SiC,EG,0.008989571,4,2.60E-08,1.051515152
SiC,EG,0.01925915,4,2.60E-08,1.066666667
SiC,EG,0.027332743,4,2.60E-08,1.1
SiC,EG,0.035146596,4,2.60E-08,1.133333333
SiC,H2O,0.008458284,4,2.60E-08,1.033333333
SiC,H2O,0.015228257,4,2.60E-08,1.059090909
SiC,H2O,0.024076151,4,2.60E-08,1.084848485
SiC,H2O,0.032931917,4,2.60E-08,1.122727273
SiC,H2O,0.042050374,4,2.60E-08,1.165151515
SiC,H2O,0.041,22.5,1.57E-08,1.07
SiC,H2O,0.041,22.5,2.88E-08,1.0975
SiC,H2O,0.041,22.5,6.54E-08,1.119166667
SiC,H2O,0.041,22.5,8.96E-08,1.125
TiO2,H2O,0.005,24.85,1.50E-08,1.045135135
TiO2,H2O,0.008068182,24.85,1.50E-08,1.094864865
TiO2,H2O,0.01,24.85,1.50E-08,1.184594595
TiO2,H2O,0.019772727,24.85,1.50E-08,1.237567568
TiO2,H2O,0.030113636,24.85,1.50E-08,1.255945946
TiO2,H2O,0.040227273,24.85,1.50E-08,1.272162162
TiO2,H2O,0.05,24.85,1.50E-08,1.297027027
CuO,H2O,0.00E+00,22,2.90E-08,1
CuO,H2O,0.011506849,22,2.90E-08,1.017534596
CuO,H2O,0.02,22,2.90E-08,1.033673222
CuO,H2O,0.030684932,22,2.90E-08,1.060494052
CuO,H2O,0.040273973,22,2.90E-08,1.068681719
CuO,H2O,0.050958904,22,2.90E-08,1.075564457
CuO,H2O,0.06109589,22,2.90E-08,1.105031561
CuO,H2O,0.070684932,22,2.90E-08,1.118536052
CuO,H2O,0.08,22,2.90E-08,1.093487497
CuO,H2O,0.089863014,22,2.90E-08,1.112314882
CuO,H2O,0.121643836,22,2.90E-08,1.208721777
CuO,H2O,0.127123288,22,2.90E-08,1.246060937
CuO,H2O,0.139178082,22,2.90E-08,1.242340374
Al2O3,H2O,0,22,3.60E-08,1
Al2O3,H2O,0.00867755,22,3.60E-08,1.059183673
Al2O3,H2O,0.017238184,22,3.60E-08,1.044897959
Al2O3,H2O,0.029602909,22,3.60E-08,1.024489796
Al2O3,H2O,0.046929493,22,3.60E-08,1.091836735
Al2O3,H2O,0.0554445,22,3.60E-08,1.093877551
Al2O3,H2O,0.066389107,22,3.60E-08,1.073469388
Al2O3,H2O,0.076706352,22,3.60E-08,1.108163265
Al2O3,H2O,0.08708063,22,3.60E-08,1.12244898
Al2O3,H2O,0.09280673,22,3.60E-08,1.106122449
Al2O3,H2O,0.102165823,22,3.60E-08,1.144897959
Al2O3,H2O,0.126992229,22,3.60E-08,1.23877551
Al2O3,H2O,0.144119199,22,3.60E-08,1.208163265
Al2O3,H2O,0.153934555,22,3.60E-08,1.253061224
Al2O3,H2O,0.174666001,22,3.60E-08,1.287755102
Al2O3,H2O,0.009681329,22,4.70E-08,1.03877551
Al2O3,H2O,0.019097455,22,4.70E-08,1.057142857
Al2O3,H2O,0.029580096,22,4.70E-08,1.032653061
Al2O3,H2O,0.048412348,22,4.70E-08,1.069387755
Al2O3,H2O,0.069126684,22,4.70E-08,1.110204082
Al2O3,H2O,0.079466743,22,4.70E-08,1.136734694
Al2O3,H2O,0.098869323,22,4.70E-08,1.13877551
Al2O3,H2O,0.118026663,22,4.70E-08,1.228571429
Al2O3,H2O,0.128897127,22,4.70E-08,1.234693878
Al2O3,H2O,0.136910245,22,4.70E-08,1.246938776
Al2O3,H2O,0.151054395,22,4.70E-08,1.267346939
Al2O3,H2O,0.160493334,22,4.70E-08,1.27755102
Al2O3,H2O,0.168067299,22,4.70E-08,1.27755102
Al2O3,H2O,0.179394026,22,4.70E-08,1.289795918
CuO,H2O,0.011243243,22,2.90E-08,1.027710843
CuO,H2O,0.02,22,2.90E-08,1.042168675
CuO,H2O,0.032324324,22,2.90E-08,1.069277108
CuO,H2O,0.039135135,22,2.90E-08,1.078313253
CuO,H2O,0.050810811,22,2.90E-08,1.08373494
CuO,H2O,0.061189189,22,2.90E-08,1.110843373
CuO,H2O,0.070918919,22,2.90E-08,1.125301205
CuO,H2O,0.080324324,22,2.90E-08,1.101807229
CuO,H2O,0.090378378,22,2.90E-08,1.121686747
CuO,H2O,0.121513514,22,2.90E-08,1.213855422
CuO,H2O,0.127675676,22,2.90E-08,1.251807229
CuO,H2O,0.140648649,22,2.90E-08,1.248192771
Al2O3,H2O,0.008383234,22,4.70E-08,1.049715569
Al2O3,H2O,0.01988024,22,4.70E-08,1.066856287
Al2O3,H2O,0.028982036,22,4.70E-08,1.044071856
Al2O3,H2O,0.049580838,22,4.70E-08,1.080928144
Al2O3,H2O,0.069221557,22,4.70E-08,1.120314371
Al2O3,H2O,0.080239521,22,4.70E-08,1.14747006
Al2O3,H2O,0.100838323,22,4.70E-08,1.146826347
Al2O3,H2O,0.120479042,22,4.70E-08,1.246212575
Al2O3,H2O,0.130538922,22,4.70E-08,1.255898204
Al2O3,H2O,0.139161677,22,4.70E-08,1.260628743
Al2O3,H2O,0.154011976,22,4.70E-08,1.285164671
Al2O3,H2O,0.163113772,22,4.70E-08,1.29738024
Al2O3,H2O,0.171736527,22,4.70E-08,1.294610778
Al2O3,H2O,0.182754491,22,4.70E-08,1.304266467
Al2O3,H2O,0.009122807,22,3.60E-08,1.06809816
Al2O3,H2O,0.018011696,22,3.60E-08,1.048466258
Al2O3,H2O,0.029707602,22,3.60E-08,1.038650307
Al2O3,H2O,0.048888889,22,3.60E-08,1.1
Al2O3,H2O,0.056842105,22,3.60E-08,1.109815951
Al2O3,H2O,0.066666667,22,3.60E-08,1.082822086
Al2O3,H2O,0.069473684,22,3.60E-08,1.119631902
Al2O3,H2O,0.078362573,22,3.60E-08,1.126993865
Al2O3,H2O,0.089590643,22,3.60E-08,1.141717791
Al2O3,H2O,0.095672515,22,3.60E-08,1.124539877
Al2O3,H2O,0.104093567,22,3.60E-08,1.161349693
Al2O3,H2O,0.130292398,22,3.60E-08,1.269325153
Al2O3,H2O,0.147134503,22,3.60E-08,1.227607362
Al2O3,H2O,0.157426901,22,3.60E-08,1.279141104
Al2O3,H2O,0.178479532,22,3.60E-08,1.313496933
Al2O3,H2O,0.09,20.82420455,3.60E-08,1.140365345
Al2O3,H2O,0.09,21.1353238,3.60E-08,1.139428304
Al2O3,H2O,0.09,22.20175691,3.60E-08,1.138160353
Al2O3,H2O,0.09,25.26693508,3.60E-08,1.140549814
Al2O3,H2O,0.09,25.44628618,3.60E-08,1.128508852
Al2O3,H2O,0.09,26.24682998,3.60E-08,1.122323008
Al2O3,H2O,0.09,26.37755235,3.60E-08,1.141073844
Al2O3,H2O,0.09,27.04423645,3.60E-08,1.139093647
Al2O3,H2O,0.09,27.48869251,3.60E-08,1.137777084
Al2O3,H2O,0.09,27.49104552,3.60E-08,1.120596387
Al2O3,H2O,0.09,27.84687181,3.60E-08,1.117652737
Al2O3,H2O,0.09,28.37577453,3.60E-08,1.148486532
Al2O3,H2O,0.09,28.73107794,3.60E-08,1.149331586
Al2O3,H2O,0.09,29.08664279,3.60E-08,1.148273592
Al2O3,H2O,0.09,29.44220764,3.60E-08,1.14721742
Al2O3,H2O,0.09,29.61789851,3.60E-08,1.161883175
Al2O3,H2O,0.09,30.06261602,3.60E-08,1.158653203
Al2O3,H2O,0.09,30.32928965,3.60E-08,1.157856084
Al2O3,H2O,0.09,30.24275144,3.60E-08,1.141055119
Al2O3,H2O,0.09,30.82002144,3.60E-08,1.143141875
Al2O3,H2O,0.09,31.48670553,3.60E-08,1.141179552
Al2O3,H2O,0.09,32.06475986,3.60E-08,1.137596005
Al2O3,H2O,0.09,32.51156893,3.60E-08,1.119323565
Al2O3,H2O,0.09,32.54947842,3.60E-08,1.166339295
Al2O3,H2O,0.09,32.90478182,3.60E-08,1.167160647
Al2O3,H2O,0.09,33.21590107,3.60E-08,1.166230765
Al2O3,H2O,0.09,33.21851552,3.60E-08,1.147403275
Al2O3,H2O,0.09,33.61852597,3.60E-08,1.146227812
Al2O3,H2O,0.09,34.15187325,3.60E-08,1.144664029
Al2O3,H2O,0.09,33.88258517,3.60E-08,1.164242828
Al2O3,H2O,0.09,34.59371487,3.60E-08,1.16212935
Al2O3,H2O,0.09,35.21595336,3.60E-08,1.160285944
Al2O3,H2O,0.09,35.08026354,3.60E-08,1.177549848
Al2O3,H2O,0.09,34.72286857,3.60E-08,1.191749464
