particle,fluid,phi,T,size,k_ratio
Al2O3,H2O,0.005,20,1.00E-08,1.021625968
CuO,H2O,0.015,20,9.00E-08,1.021661515
Al2O3,H2O,0.01,35,7.00E-08,1.021698465
Al2O3,H2O,0.015,30,1.25E-07,1.021783554
CuO,H2O,0.01,25,5.00E-08,1.022020752
CuO,H2O,0.005,40,5.00E-08,1.022031431
Al2O3,H2O,0.015,35,1.50E-07,1.022077956
Al2O3,H2O,0.005,60,1.00E-07,1.022105996
Al2O3,H2O,0.015,25,9.00E-08,1.022205844
Al2O3,H2O,0.01,50,1.50E-07,1.022258079
CuO,H2O,0.01,30,7.00E-08,1.02230755
Al2O3,H2O,0.01,40,9.00E-08,1.02231852
Al2O3,H2O,0.005,50,6.00E-08,1.02236337
Al2O3,H2O,0.015,20,7.00E-08,1.022398038
CuO,H2O,0.01,40,1.25E-07,1.022614678
CuO,H2O,0.015,20,8.00E-08,1.022625179
CuO,H2O,0.015,30,1.50E-07,1.02262747
Al2O3,H2O,0.01,30,5.00E-08,1.022647761
CuO,H2O,0.01,35,9.00E-08,1.022788319
Al2O3,H2O,0.015,25,8.00E-08,1.023172449
CuO,H2O,0.015,25,1.00E-07,1.023287744
Al2O3,H2O,0.015,20,6.00E-08,1.023578034
CuO,H2O,0.005,45,6.00E-08,1.023597169
CuO,H2O,0.005,50,8.00E-08,1.023633043
CuO,H2O,0.01,45,1.50E-07,1.023755148
Al2O3,H2O,0.015,30,1.00E-07,1.023814902
CuO,H2O,0.015,20,7.00E-08,1.023864175
Al2O3,H2O,0.01,35,6.00E-08,1.023879661
Al2O3,H2O,0.015,35,1.25E-07,1.023910161
Al2O3,H2O,0.005,55,7.00E-08,1.02403732
CuO,H2O,0.005,55,1.00E-07,1.024074285
Al2O3,H2O,0.01,40,8.00E-08,1.024091683
Al2O3,H2O,0.005,60,9.00E-08,1.02419947
CuO,H2O,0.015,25,9.00E-08,1.024370342
Al2O3,H2O,0.015,25,7.00E-08,1.024415228
Al2O3,H2O,0.01,45,1.00E-07,1.02444198
CuO,H2O,0.015,30,1.25E-07,1.024523395
CuO,H2O,0.01,30,6.00E-08,1.024564603
CuO,H2O,0.01,35,8.00E-08,1.024569629
CuO,H2O,0.01,20,3.00E-08,1.024720089
CuO,H2O,0.02,20,1.50E-07,1.024770388
Al2O3,H2O,0.005,45,4.00E-08,1.024777699
Al2O3,H2O,0.02,20,1.50E-07,1.0248294
CuO,H2O,0.005,60,1.25E-07,1.024927092
Al2O3,H2O,0.015,30,9.00E-08,1.024943428
Al2O3,H2O,0.015,40,1.50E-07,1.024966596
Al2O3,H2O,0.01,25,3.00E-08,1.025114354
Al2O3,H2O,0.015,20,5.00E-08,1.025230029
Al2O3,H2O,0.01,50,1.25E-07,1.025253901
CuO,H2O,0.01,25,4.00E-08,1.025268546
Al2O3,H2O,0.005,40,3.00E-08,1.025344566
Al2O3,H2O,0.02,25,1.50E-07,1.025483608
CuO,H2O,0.015,20,6.00E-08,1.02551617
CuO,H2O,0.015,35,1.50E-07,1.02563219
CuO,H2O,0.005,35,3.00E-08,1.025644641
Al2O3,H2O,0.02,20,1.25E-07,1.025710463
CuO,H2O,0.015,25,8.00E-08,1.02572359
CuO,H2O,0.02,20,1.25E-07,1.026003878
Al2O3,H2O,0.01,30,4.00E-08,1.02603334
Al2O3,H2O,0.015,25,6.00E-08,1.026072266
Al2O3,H2O,0.005,50,5.00E-08,1.026108147
Al2O3,H2O,0.01,55,1.50E-07,1.02611439
CuO,H2O,0.01,40,1.00E-07,1.026189376
Al2O3,H2O,0.01,45,9.00E-08,1.026302233
CuO,H2O,0.005,55,9.00E-08,1.026316061
Al2O3,H2O,0.015,30,8.00E-08,1.026354087
Al2O3,H2O,0.01,40,7.00E-08,1.026371465
CuO,H2O,0.005,50,7.00E-08,1.026441625
CuO,H2O,0.005,40,4.00E-08,1.026499802
Al2O3,H2O,0.015,35,1.00E-07,1.026658468
CuO,H2O,0.02,25,1.50E-07,1.026719933
Al2O3,H2O,0.02,25,1.25E-07,1.026720863
Al2O3,H2O,0.01,20,2.00E-08,1.026731988
Al2O3,H2O,0.005,60,8.00E-08,1.026816312
CuO,EG,0.005,25,1.50E-07,1.026827221
CuO,EG,0.005,30,1.50E-07,1.026857789
CuO,H2O,0.01,35,7.00E-08,1.026859885
CuO,EG,0.005,25,1.25E-07,1.026873096
CuO,H2O,0.01,45,1.25E-07,1.026880374
CuO,EG,0.005,20,1.50E-07,1.026899644
CuO,EG,0.005,20,1.25E-07,1.026915571
CuO,EG,0.005,35,1.50E-07,1.026928597
Al2O3,H2O,0.01,35,5.00E-08,1.026933335
CuO,EG,0.005,20,1.00E-07,1.026939462
CuO,EG,0.005,25,1.00E-07,1.026941908
CuO,EG,0.005,20,9.00E-08,1.026952735
CuO,EG,0.005,30,1.25E-07,1.026953594
CuO,EG,0.005,20,8.00E-08,1.026969325
CuO,EG,0.005,25,9.00E-08,1.026980138
CuO,EG,0.005,20,7.00E-08,1.026990657
CuO,EG,0.005,20,6.00E-08,1.027019098
CuO,EG,0.005,25,8.00E-08,1.027027924
Al2O3,H2O,0.02,20,1.00E-07,1.027032059
CuO,EG,0.005,20,5.00E-08,1.027058916
CuO,EG,0.005,35,1.25E-07,1.027081777
CuO,EG,0.005,25,7.00E-08,1.027089364
CuO,EG,0.005,30,1.00E-07,1.027097301
CuO,EG,0.005,20,4.00E-08,1.027118643
CuO,EG,0.005,25,6.00E-08,1.027171284
CuO,EG,0.005,30,9.00E-08,1.027177139
Al2O3,H2O,0.005,35,2.00E-08,1.027208203
CuO,EG,0.005,20,3.00E-08,1.027218188
Al2O3,H2O,0.02,30,1.50E-07,1.027239096
CuO,EG,0.005,40,1.50E-07,1.027266528
CuO,EG,0.005,30,8.00E-08,1.027276936
CuO,EG,0.005,25,5.00E-08,1.027285971
CuO,EG,0.005,35,1.00E-07,1.027311546
CuO,H2O,0.015,30,1.00E-07,1.027367282
CuO,EG,0.005,30,7.00E-08,1.027405246
CuO,EG,0.005,20,2.00E-08,1.027417278
CuO,EG,0.005,35,9.00E-08,1.027439196
CuO,EG,0.005,25,4.00E-08,1.027458003
CuO,H2O,0.015,25,7.00E-08,1.02746348
Al2O3,H2O,0.005,55,6.00E-08,1.027468609
CuO,H2O,0.005,45,5.00E-08,1.0275037
Al2O3,H2O,0.015,40,1.25E-07,1.027519951
CuO,EG,0.005,40,1.25E-07,1.027529916
CuO,EG,0.005,30,6.00E-08,1.027576327
CuO,EG,0.005,35,8.00E-08,1.027598758
Al2O3,H2O,0.015,20,4.00E-08,1.027708021
CuO,H2O,0.01,30,5.00E-08,1.027724478
CuO,EG,0.005,25,3.00E-08,1.027744722
Al2O3,H2O,0.02,20,9.00E-08,1.027766279
CuO,H2O,0.005,20,1.00E-08,1.027778663
CuO,EG,0.005,35,7.00E-08,1.027803909
CuO,EG,0.005,30,5.00E-08,1.027815839
CuO,H2O,0.015,20,5.00E-08,1.027828962
CuO,H2O,0.02,20,1.00E-07,1.027854112
CuO,EG,0.005,40,1.00E-07,1.027924997
CuO,EG,0.005,20,1.00E-08,1.028014548
Al2O3,H2O,0.005,25,1.00E-08,1.028022865
CuO,EG,0.005,35,6.00E-08,1.028077444
CuO,H2O,0.005,30,2.00E-08,1.028081673
CuO,EG,0.005,40,9.00E-08,1.028144487
Al2O3,H2O,0.015,30,7.00E-08,1.02816779
CuO,EG,0.005,30,4.00E-08,1.028175108
CuO,H2O,0.01,40,9.00E-08,1.028175318
Al2O3,H2O,0.015,35,9.00E-08,1.028185305
CuO,H2O,0.015,35,1.25E-07,1.028197277
Al2O3,H2O,0.015,45,1.50E-07,1.028291831
CuO,EG,0.005,25,2.00E-08,1.02831816
CuO,EG,0.005,45,1.50E-07,1.028365271
Al2O3,H2O,0.015,25,5.00E-08,1.028392119
CuO,EG,0.005,40,8.00E-08,1.028418849
CuO,H2O,0.02,25,1.25E-07,1.02845209
CuO,EG,0.005,35,5.00E-08,1.028460393
Al2O3,H2O,0.02,25,1.00E-07,1.028576746
Al2O3,H2O,0.01,45,8.00E-08,1.028627549
Al2O3,H2O,0.02,20,8.00E-08,1.028684054
CuO,EG,0.005,40,7.00E-08,1.028771601
CuO,EG,0.005,30,3.00E-08,1.028773889
CuO,EG,0.005,45,1.25E-07,1.028868899
CuO,H2O,0.02,20,9.00E-08,1.02888202
CuO,H2O,0.01,50,1.50E-07,1.028916679
CuO,H2O,0.015,30,9.00E-08,1.028947219
CuO,EG,0.005,35,4.00E-08,1.029034817
Al2O3,H2O,0.02,30,1.25E-07,1.029044739
CuO,H2O,0.005,55,8.00E-08,1.029118281
CuO,EG,0.005,40,6.00E-08,1.029241936
Al2O3,H2O,0.01,40,6.00E-08,1.029411173
Al2O3,H2O,0.02,35,1.50E-07,1.029437275
Al2O3,H2O,0.02,25,9.00E-08,1.029607792
CuO,EG,0.005,45,1.00E-07,1.029624342
Al2O3,H2O,0.01,50,1.00E-07,1.029747633
CuO,H2O,0.015,25,6.00E-08,1.029783333
Al2O3,H2O,0.02,20,7.00E-08,1.02986405
CuO,EG,0.005,40,5.00E-08,1.029900405
CuO,H2O,0.01,35,6.00E-08,1.02991356
Al2O3,H2O,0.01,55,1.25E-07,1.029957433
CuO,EG,0.005,30,2.00E-08,1.029971452
CuO,EG,0.005,35,3.00E-08,1.029992189
CuO,EG,0.005,25,1.00E-08,1.030038474
CuO,EG,0.005,45,9.00E-08,1.030044033
Al2O3,H2O,0.015,35,8.00E-08,1.030093852
CuO,H2O,0.02,20,8.00E-08,1.030166905
CuO,H2O,0.02,30,1.50E-07,1.03016996
Al2O3,H2O,0.005,60,7.00E-08,1.030180823
CuO,H2O,0.005,50,6.00E-08,1.030186402
CuO,H2O,0.005,60,1.00E-07,1.030202645
CuO,H2O,0.015,40,1.50E-07,1.03034732
CuO,EG,0.005,45,8.00E-08,1.030568646
Al2O3,H2O,0.015,30,6.00E-08,1.030586061
CuO,H2O,0.01,40,8.00E-08,1.030657747
CuO,H2O,0.01,25,3.00E-08,1.030681537
CuO,EG,0.005,50,1.50E-07,1.030748933
CuO,EG,0.005,40,4.00E-08,1.030888109
Al2O3,H2O,0.02,25,8.00E-08,1.030896599
CuO,H2O,0.015,30,8.00E-08,1.03092214
CuO,H2O,0.025,20,1.50E-07,1.030962986
Al2O3,H2O,0.025,20,1.50E-07,1.031036749
CuO,H2O,0.02,25,1.00E-07,1.031050326
CuO,EG,0.005,45,7.00E-08,1.031243149
CuO,H2O,0.015,20,4.00E-08,1.031298151
Al2O3,H2O,0.015,40,1.00E-07,1.031349984
Al2O3,H2O,0.02,20,6.00E-08,1.031437379
Al2O3,H2O,0.01,35,4.00E-08,1.031513847
CuO,H2O,0.01,45,1.00E-07,1.031568211
Al2O3,H2O,0.01,45,7.00E-08,1.031617242
Al2O3,H2O,0.015,45,1.25E-07,1.031640287
Al2O3,H2O,0.01,60,1.50E-07,1.03165115
Al2O3,H2O,0.01,30,3.00E-08,1.031675973
Al2O3,H2O,0.005,50,4.00E-08,1.031725312
CuO,EG,0.005,50,1.25E-07,1.031749651
Al2O3,H2O,0.02,30,1.00E-07,1.031753202
Al2O3,H2O,0.005,45,3.00E-08,1.031753648
CuO,H2O,0.02,20,7.00E-08,1.0318189
Al2O3,H2O,0.015,20,3.00E-08,1.031838008
Al2O3,H2O,0.025,25,1.50E-07,1.031854511
Al2O3,H2O,0.015,25,4.00E-08,1.031871898
Al2O3,H2O,0.02,35,1.25E-07,1.031880214
CuO,EG,0.005,35,2.00E-08,1.031906934
CuO,H2O,0.015,35,1.00E-07,1.032044907
Al2O3,H2O,0.025,20,1.25E-07,1.032138079
CuO,EG,0.005,45,6.00E-08,1.032142486
Al2O3,H2O,0.01,50,9.00E-08,1.032244151
Al2O3,H2O,0.005,55,5.00E-08,1.032272414
CuO,H2O,0.01,20,2.00E-08,1.032429398
CuO,H2O,0.01,30,4.00E-08,1.032464289
CuO,H2O,0.02,25,9.00E-08,1.03249379
CuO,H2O,0.025,20,1.25E-07,1.032504847
CuO,EG,0.005,40,3.00E-08,1.032534282
Al2O3,H2O,0.015,35,7.00E-08,1.032547697
Al2O3,H2O,0.02,25,7.00E-08,1.032553637
CuO,H2O,0.02,30,1.25E-07,1.03269786
CuO,H2O,0.005,55,7.00E-08,1.032721134
Al2O3,H2O,0.01,25,2.00E-08,1.032847198
CuO,EG,0.005,55,1.50E-07,1.032888095
CuO,H2O,0.015,25,5.00E-08,1.033031127
CuO,H2O,0.01,50,1.25E-07,1.033110829
CuO,H2O,0.005,60,9.00E-08,1.033133508
CuO,EG,0.005,50,1.00E-07,1.033250729
Al2O3,H2O,0.02,30,9.00E-08,1.033257905
Al2O3,H2O,0.02,40,1.50E-07,1.033288795
CuO,H2O,0.005,45,4.00E-08,1.033363498
Al2O3,H2O,0.015,50,1.50E-07,1.033387119
CuO,H2O,0.025,25,1.50E-07,1.033399916
Al2O3,H2O,0.025,25,1.25E-07,1.033401079
CuO,EG,0.005,45,5.00E-08,1.033401557
CuO,H2O,0.015,30,7.00E-08,1.033461325
Al2O3,H2O,0.015,40,9.00E-08,1.03347778
CuO,EG,0.005,30,1.00E-08,1.03356414
Al2O3,H2O,0.02,20,5.00E-08,1.033640038
Al2O3,H2O,0.01,40,5.00E-08,1.033666765
Al2O3,H2O,0.025,20,1.00E-07,1.033790074
CuO,H2O,0.01,40,7.00E-08,1.033849441
CuO,H2O,0.015,40,1.25E-07,1.033922018
CuO,H2O,0.005,40,3.00E-08,1.033947088
Al2O3,H2O,0.015,30,5.00E-08,1.033971641
CuO,H2O,0.02,20,6.00E-08,1.034021559
Al2O3,H2O,0.025,30,1.50E-07,1.03404887
CuO,EG,0.005,50,9.00E-08,1.034084661
CuO,H2O,0.01,45,9.00E-08,1.034172566
CuO,H2O,0.02,35,1.50E-07,1.034176253
CuO,H2O,0.015,35,9.00E-08,1.034182479
CuO,H2O,0.01,35,5.00E-08,1.034188704
CuO,H2O,0.02,25,8.00E-08,1.03429812
CuO,EG,0.005,55,1.25E-07,1.034338054
Al2O3,H2O,0.005,60,6.00E-08,1.034666838
CuO,H2O,0.01,55,1.50E-07,1.034697917
Al2O3,H2O,0.025,20,9.00E-08,1.034707849
Al2O3,H2O,0.02,25,6.00E-08,1.034763021
CuO,H2O,0.025,20,1.00E-07,1.03481764
CuO,EG,0.005,50,8.00E-08,1.035127076
Al2O3,H2O,0.02,30,8.00E-08,1.035138782
CuO,EG,0.005,45,4.00E-08,1.035290165
Al2O3,H2O,0.01,50,8.00E-08,1.035364798
CuO,H2O,0.005,50,5.00E-08,1.035429089
Al2O3,H2O,0.02,35,1.00E-07,1.035544624
CuO,H2O,0.025,25,1.25E-07,1.035565113
Al2O3,H2O,0.01,45,6.00E-08,1.035603499
CuO,H2O,0.015,45,1.50E-07,1.035632722
Al2O3,H2O,0.025,25,1.00E-07,1.035720932
Al2O3,H2O,0.01,55,1.00E-07,1.035721999
Al2O3,H2O,0.015,35,6.00E-08,1.035819491
CuO,EG,0.005,40,2.00E-08,1.035826628
Al2O3,H2O,0.025,20,8.00E-08,1.035855068
Al2O3,H2O,0.005,40,2.00E-08,1.035983546
CuO,H2O,0.025,20,9.00E-08,1.036102525
Al2O3,H2O,0.015,40,8.00E-08,1.036137525
Al2O3,H2O,0.025,30,1.25E-07,1.036305923
