particle,fluid,phi,T,size,k_ratio
Fe,H2O,0.025,20,3e-08,1.10908219309704
Fe,H2O,0.03,20,3e-08,1.13185751887211
Fe,H2O,0.035,20,3e-08,1.15496898456227
Fe,H2O,0.04,20,3e-08,1.1784240870997
Fe,H2O,0.045,20,3e-08,1.20223054802529
Fe,H2O,0.05,20,3e-08,1.22639632196372
TiO2,H2O,0.005,20,3e-08,1.0165725379616
TiO2,H2O,0.01,20,3e-08,1.0333291923584
TiO2,H2O,0.015,20,3e-08,1.05027304855522
TiO2,H2O,0.02,20,3e-08,1.06740726124223
TiO2,H2O,0.025,20,3e-08,1.08473505639301
TiO2,H2O,0.03,20,3e-08,1.10225973328941
TiO2,H2O,0.035,20,3e-08,1.11998466661581
TiO2,H2O,0.04,20,3e-08,1.13791330862556
TiO2,H2O,0.045,20,3e-08,1.15604919138259
TiO2,H2O,0.05,20,3e-08,1.17439592908115
MgO,H2O,0.005,20,3e-08,1.02074814538216
MgO,H2O,0.01,20,3e-08,1.04178527978424
MgO,H2O,0.015,20,3e-08,1.06311748329281
MgO,H2O,0.02,20,3e-08,1.08475100775889
MgO,H2O,0.025,20,3e-08,1.10669228290665
MgO,H2O,0.03,20,3e-08,1.12894792270461
MgO,H2O,0.035,20,3e-08,1.15152473201267
MgO,H2O,0.04,20,3e-08,1.17442971351906
MgO,H2O,0.045,20,3e-08,1.19767007498187
MgO,H2O,0.05,20,3e-08,1.22125323679121
SiC,H2O,0.005,20,3e-08,1.02184508638988
SiC,H2O,0.01,20,3e-08,1.04401064489301
SiC,H2O,0.015,20,3e-08,1.06650377971167
SiC,H2O,0.02,20,3e-08,1.08933180659187
SiC,H2O,0.025,20,3e-08,1.11250226075643
SiC,H2O,0.03,20,3e-08,1.13602290519767
SiC,H2O,0.035,20,3e-08,1.15990173934908
SiC,H2O,0.04,20,3e-08,1.1841470081561
SiC,H2O,0.045,20,3e-08,1.20876721156775
SiC,H2O,0.05,20,3e-08,1.23377111447207
SiO2,H2O,0.005,20,3e-08,1.0058154464009
SiO2,H2O,0.01,20,3e-08,1.01165348287013
SiO2,H2O,0.015,20,3e-08,1.01751424129034
SiO2,H2O,0.02,20,3e-08,1.02339785457275
SiO2,H2O,0.025,20,3e-08,1.02930445666722
SiO2,H2O,0.03,20,3e-08,1.03523418257243
SiO2,H2O,0.035,20,3e-08,1.04118716834612
