particle,fluid,phi,T,size,k_ratio
CuO,40:60 EG/W,0.025,30,9.00E-08,1.166691981
CuO,60:40 EG/W,0.02,35,1.50E-07,1.166711941
CuO,H2O,0.025,35,8.00E-08,1.166758836
CuO,H2O,0.03,30,6.00E-08,1.166796029
CuO,EG,0.01,40,1.25E-07,1.167014325
CuO,40:60 EG/W,0.035,30,1.50E-07,1.167108073
CuO,H2O,0.03,35,1.00E-07,1.167130328
CuO,EG,0.02,30,8.00E-08,1.167131212
CuO,40:60 EG/W,0.01,45,1.50E-07,1.167153192
CuO,H2O,0.03,40,1.50E-07,1.167182453
CuO,40:60 EG/W,0.025,35,1.50E-07,1.167338116
CuO,EG,0.025,30,1.00E-07,1.167637474
CuO,H2O,0.015,35,5.00E-08,1.1676526
CuO,H2O,0.015,30,3.00E-08,1.167732885
CuO,EG,0.01,35,8.00E-08,1.167835389
CuO,40:60 EG/W,0.01,35,7.00E-08,1.167886324
CuO,40:60 EG/W,0.02,30,7.00E-08,1.167995832
CuO,H2O,0.035,35,1.25E-07,1.168549394
CuO,EG,0.03,30,1.25E-07,1.168627681
CuO,H2O,0.04,30,1.00E-07,1.169105244
CuO,60:40 EG/W,0.01,30,5.00E-08,1.169854277
CuO,EG,0.015,30,6.00E-08,1.169891657
CuO,40:60 EG/W,0.015,35,9.00E-08,1.170008317
CuO,H2O,0.045,30,1.50E-07,1.170079898
CuO,H2O,0.015,45,1.00E-07,1.170252207
CuO,H2O,0.02,40,9.00E-08,1.170266799
CuO,H2O,0.035,30,7.00E-08,1.170410786
CuO,H2O,0.02,35,6.00E-08,1.170422015
CuO,H2O,0.01,50,1.00E-07,1.170523114
CuO,H2O,0.02,45,1.25E-07,1.170599422
CuO,40:60 EG/W,0.01,30,4.00E-08,1.170925393
CuO,60:40 EG/W,0.01,40,1.25E-07,1.171127023
CuO,H2O,0.03,35,9.00E-08,1.171433865
CuO,40:60 EG/W,0.01,40,1.00E-07,1.17155004
CuO,H2O,0.015,40,7.00E-08,1.171742731
CuO,H2O,0.04,30,9.00E-08,1.171870089
CuO,60:40 EG/W,0.025,30,1.00E-07,1.171914783
CuO,60:40 EG/W,0.03,30,1.25E-07,1.171970684
CuO,EG,0.035,30,1.50E-07,1.172011354
CuO,EG,0.015,35,1.00E-07,1.172026578
CuO,40:60 EG/W,0.03,30,1.00E-07,1.172138158
CuO,H2O,0.025,45,1.50E-07,1.172163305
Al2O3,40:60 EG/W,0.01,30,1.50E-07,1.172271776
CuO,40:60 EG/W,0.025,30,8.00E-08,1.172317217
CuO,60:40 EG/W,0.02,30,8.00E-08,1.172357657
CuO,H2O,0.04,35,1.50E-07,1.172394508
CuO,EG,0.025,30,9.00E-08,1.17264084
CuO,EG,0.02,35,1.25E-07,1.17270173
CuO,40:60 EG/W,0.035,30,1.25E-07,1.173076747
CuO,H2O,0.025,35,7.00E-08,1.173258443
CuO,60:40 EG/W,0.01,35,8.00E-08,1.173485425
Al2O3,H2O,0.01,30,8.00E-08,1.173574556
CuO,H2O,0.045,30,1.25E-07,1.173581117
CuO,EG,0.015,40,1.50E-07,1.173978673
CuO,H2O,0.015,50,1.25E-07,1.174116555
CuO,H2O,0.03,30,5.00E-08,1.174351816
CuO,40:60 EG/W,0.015,30,5.00E-08,1.174443552
CuO,60:40 EG/W,0.035,30,1.50E-07,1.174537779
CuO,EG,0.02,30,7.00E-08,1.174540977
CuO,EG,0.025,35,1.50E-07,1.174616401
CuO,H2O,0.03,40,1.25E-07,1.17478672
CuO,H2O,0.04,30,8.00E-08,1.175138342
CuO,40:60 EG/W,0.015,40,1.25E-07,1.175268084
CuO,H2O,0.025,30,4.00E-08,1.17550372
CuO,H2O,0.025,40,1.00E-07,1.175701052
CuO,H2O,0.035,30,6.00E-08,1.17583297
CuO,H2O,0.01,45,7.00E-08,1.175893032
CuO,H2O,0.01,40,5.00E-08,1.176187941
CuO,60:40 EG/W,0.015,30,6.00E-08,1.176232494
CuO,40:60 EG/W,0.025,35,1.25E-07,1.176253676
CuO,H2O,0.035,35,1.00E-07,1.176325838
CuO,H2O,0.02,50,1.50E-07,1.176470152
CuO,H2O,0.035,40,1.50E-07,1.176482959
CuO,H2O,0.03,35,8.00E-08,1.176520967
CuO,40:60 EG/W,0.04,30,1.50E-07,1.176563918
CuO,40:60 EG/W,0.03,30,9.00E-08,1.176625047
CuO,40:60 EG/W,0.02,30,6.00E-08,1.176738857
CuO,H2O,0.01,30,2.00E-08,1.176871545
CuO,60:40 EG/W,0.02,35,1.25E-07,1.176970826
CuO,60:40 EG/W,0.015,35,1.00E-07,1.177066248
CuO,H2O,0.02,40,8.00E-08,1.177090344
CuO,H2O,0.015,45,9.00E-08,1.177130138
CuO,60:40 EG/W,0.025,30,9.00E-08,1.17718827
CuO,40:60 EG/W,0.02,35,1.00E-07,1.177365786
CuO,EG,0.01,35,7.00E-08,1.177379383
CuO,40:60 EG/W,0.03,35,1.50E-07,1.177416588
CuO,H2O,0.04,35,1.25E-07,1.177594849
CuO,40:60 EG/W,0.015,35,8.00E-08,1.177656631
CuO,60:40 EG/W,0.015,40,1.50E-07,1.177685717
CuO,40:60 EG/W,0.02,40,1.50E-07,1.177750133
CuO,EG,0.03,30,1.00E-07,1.177834851
Al2O3,H2O,0.01,35,1.25E-07,1.178038488
CuO,60:40 EG/W,0.025,35,1.50E-07,1.178158655
CuO,H2O,0.01,50,9.00E-08,1.178201161
CuO,EG,0.035,30,1.25E-07,1.178286794
CuO,H2O,0.045,30,1.00E-07,1.178324228
CuO,EG,0.025,30,8.00E-08,1.178555191
